G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,Kode Kerusakan
ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,K001
ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K001
ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K001
ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K002
ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K003
ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,K004
ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,K004
ya,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,K005
tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,K005
tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,K005
tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,K006
tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K006
tidak,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K007
tidak,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K007
tidak,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,K007
tidak,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K008
tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K008
tidak,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,K009
tidak,tidak,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,K009
tidak,tidak,tidak,tidak,tidak,ya,tidak,ya,ya,tidak,K010
tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,ya,tidak,K010
tidak,ya,ya,tidak,tidak,ya,ya,tidak,tidak,tidak,K011
tidak,ya,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,K011
tidak,ya,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,K011
tidak,ya,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,K011
tidak,ya,ya,tidak,tidak,ya,ya,tidak,tidak,ya,K011
tidak,ya,tidak,tidak,ya,ya,tidak,tidak,ya,tidak,K012
tidak,ya,tidak,tidak,ya,ya,tidak,tidak,tidak,tidak,K012
tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,ya,tidak,K012
tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,K013
tidak,tidak,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,K014
tidak,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,K014
tidak,ya,ya,ya,tidak,ya,tidak,tidak,tidak,ya,K014
tidak,ya,tidak,tidak,ya,ya,tidak,tidak,tidak,tidak,K015
tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,tidak,K015
tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,tidak,K016
tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,ya,K016
tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,ya,K017
tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K017
tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K018
tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,K019
tidak,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,K020
tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K020
tidak,ya,ya,tidak,tidak,ya,ya,tidak,tidak,tidak,K021
tidak,ya,ya,tidak,ya,tidak,ya,ya,tidak,tidak,K021
tidak,tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,ya,K022
tidak,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,ya,K022
tidak,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,K022
tidak,tidak,tidak,tidak,tidak,ya,ya,ya,ya,tidak,K023
tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,tidak,K023
tidak,ya,tidak,ya,tidak,ya,ya,tidak,tidak,ya,K024
tidak,ya,tidak,tidak,tidak,tidak,ya,tidak,tidak,ya,K024
tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,K024
tidak,ya,ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,K024
tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,ya,K025
tidak,ya,ya,tidak,tidak,tidak,ya,tidak,tidak,ya,K025
tidak,ya,ya,ya,tidak,ya,ya,tidak,tidak,tidak,K025
tidak,tidak,ya,tidak,tidak,ya,ya,tidak,tidak,tidak,K025
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,tidak,K026
ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K027
ya,ya,ya,tidak,tidak,ya,ya,tidak,tidak,tidak,K028
ya,ya,ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,K028
ya,tidak,ya,tidak,tidak,ya,ya,tidak,tidak,ya,K028
tidak,tidak,tidak,tidak,ya,tidak,tidak,ya,ya,tidak,K029
tidak,tidak,tidak,tidak,ya,tidak,tidak,ya,tidak,tidak,K029
tidak,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,ya,K030
ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,K030
ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,K031
ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,K031
tidak,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K032
tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K032
tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,K032
